,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,value
410,102500,24.25,0.43,23.75,0.43,17.25,1.3,0
362,90500,37.5,1.12,12.0,0.0,20.75,0.43,5
151,37750,45.25,0.43,15.0,0.0,21.25,0.43,5
211,52750,35.0,2.74,17.0,3.67,14.75,6.14,3
414,103500,33.75,1.3,12.0,0.0,16.5,1.5,4
296,74000,36.5,2.5,20.67,2.05,19.0,2.12,6
94,23500,35.25,2.49,19.25,1.48,12.67,4.71,6
393,98250,45.75,0.83,18.25,2.28,21.0,0.0,5
62,15500,44.75,0.43,20.25,0.43,4.33,0.47,4
95,23750,42.0,0.0,19.5,0.5,35.25,1.3,1
317,79250,46.33,0.47,20.67,0.47,21.25,0.43,5
363,90750,45.0,0.0,15.0,0.0,21.0,0.0,5
300,75000,43.5,0.5,16.25,0.43,17.25,0.83,5
190,47500,35.75,2.77,19.0,4.58,14.0,2.12,3
92,23000,35.5,0.87,20.5,1.5,13.0,3.74,0
316,79000,45.75,0.43,18.75,0.83,13.0,1.0,4
385,96250,41.67,0.47,20.5,0.5,30.0,0.0,1
378,94500,24.0,0.0,22.0,0.0,19.5,0.87,0
171,42750,44.5,0.5,13.25,1.3,15.75,0.83,4
381,95250,32.33,0.94,16.0,1.0,16.75,3.63,3
470,117500,34.0,5.74,16.5,4.5,10.75,6.87,1
50,12500,41.5,0.5,20.5,0.87,30.0,0.0,0
107,26750,48.0,0.0,7.67,0.47,9.67,0.94,2
98,24500,42.0,0.0,24.0,0.0,36.5,0.5,1
283,70750,41.0,1.73,16.25,1.79,13.0,2.55,6
276,69000,44.25,0.43,15.5,2.29,31.0,0.0,1
154,38500,39.5,2.18,17.5,5.12,30.25,0.43,1
20,5000,42.0,0.0,13.5,1.12,28.0,1.22,0
282,70500,42.0,0.0,21.0,0.0,36.0,0.0,1
464,116000,42.5,0.5,15.0,0.0,16.0,0.71,4
85,21250,37.25,5.21,15.75,1.48,15.25,1.92,3
184,46000,45.0,0.0,14.5,0.5,21.5,0.5,5
96,24000,30.0,4.74,16.75,2.68,14.0,1.0,3
101,25250,37.75,2.17,12.75,5.97,26.0,0.71,1
396,99000,42.0,0.0,18.5,0.87,17.0,0.71,5
219,54750,45.0,0.0,20.25,0.43,12.75,0.83,4
368,92000,45.0,0.0,18.0,0.0,12.0,0.0,4
163,40750,33.0,4.95,16.5,4.56,13.75,2.59,3
93,23250,31.0,3.74,17.0,3.74,15.0,3.67,3
284,71000,36.5,0.87,14.25,3.9,16.25,1.48,6
30,7500,29.0,0.0,4.67,0.47,9.75,1.3,2
389,97250,42.67,0.94,18.0,0.0,11.0,0.82,4
223,55750,39.67,0.47,2.0,0.0,14.0,0.82,2
79,19750,39.25,0.43,6.5,2.06,7.5,0.87,2
471,117750,39.5,0.5,1.75,0.43,17.5,0.5,2
118,29500,45.75,0.43,15.5,0.5,20.75,0.43,4
178,44500,44.5,0.5,18.0,0.0,10.25,0.83,4
430,107500,41.5,0.5,20.25,0.83,30.5,0.5,1
154,38500,36.5,0.5,11.33,0.94,22.0,0.71,5
270,67500,45.0,0.0,8.8,3.19,14.0,1.41,5
146,36500,39.5,0.5,10.75,0.43,12.0,0.0,2
272,68000,45.0,0.0,15.0,0.0,16.75,0.43,4
343,85750,23.0,0.71,20.75,0.43,13.75,0.83,0
61,15250,32.0,5.7,22.0,1.41,14.0,5.89,3
238,59500,24.75,0.43,19.0,0.0,27.0,0.0,0
77,19250,36.5,7.3,8.75,3.49,19.5,5.59,1
312,78000,39.25,0.43,12.0,0.0,6.67,0.47,2
273,68250,35.0,2.16,16.33,3.09,14.0,3.39,6
336,84000,34.5,1.5,17.5,2.5,17.5,4.61,6
340,85000,27.5,2.5,17.0,3.74,17.33,3.09,3
209,52250,40.0,1.0,17.0,0.0,36.0,0.0,1
217,54250,39.67,0.47,1.5,0.5,13.67,0.47,2
216,54000,45.25,0.43,8.0,4.3,21.0,0.0,5
273,68250,42.75,0.83,21.0,0.0,33.0,0.0,1
134,33500,28.67,0.47,21.0,0.0,18.67,0.47,0
53,13250,45.0,0.0,15.0,0.0,17.75,0.43,4
391,97750,39.33,0.47,2.25,0.43,7.33,0.94,2
33,8250,45.0,0.0,21.0,0.0,12.25,0.43,4
462,115500,44.75,0.43,20.75,0.43,12.0,5.79,5
156,39000,36.67,0.47,12.33,0.47,22.67,1.25,5
422,105500,40.33,0.94,12.0,0.0,2.0,0.0,2
18,4500,33.25,6.91,19.25,2.95,18.25,1.79,3
332,83000,31.0,6.38,16.33,2.36,21.0,1.63,6
63,15750,45.0,0.0,19.75,1.09,13.67,1.25,4
36,9000,40.0,3.24,17.5,3.77,18.0,3.67,3
152,38000,27.5,2.87,15.75,2.86,17.0,6.04,3
224,56000,28.67,1.25,14.67,3.77,20.0,1.73,3
471,117750,48.0,0.0,9.5,0.5,9.0,0.82,4
283,70750,33.75,1.3,17.0,3.27,30.0,0.0,1
22,5500,36.0,0.0,14.0,0.82,30.0,0.0,1
57,14250,37.5,1.5,20.75,1.09,12.75,5.31,3
41,10250,40.75,3.7,18.25,4.21,21.5,2.87,3
294,73500,40.25,0.83,13.5,0.87,0.0,0.0,2
167,41750,47.75,0.43,12.5,2.69,13.25,1.3,4
478,119500,39.5,0.5,6.75,0.83,15.0,1.41,2
86,21500,27.0,0.0,3.0,0.0,10.33,0.94,2
355,88750,29.0,0.0,2.0,1.0,0.0,0.0,2
134,33500,43.0,1.41,22.5,1.12,30.0,0.0,1
153,38250,31.25,0.43,21.0,0.0,19.0,1.58,5
427,106750,30.0,0.0,21.0,0.0,19.0,1.22,5
327,81750,48.0,0.0,12.0,0.0,15.25,1.09,4
34,8500,39.5,0.5,5.0,0.0,18.0,0.0,2
332,83000,35.25,5.76,16.25,2.38,16.5,5.72,3
313,78250,31.5,0.5,18.0,1.41,10.25,4.09,0
382,95500,45.33,0.47,19.0,0.82,19.5,1.5,5
465,116250,44.0,0.0,19.0,0.0,2.0,0.82,5
30,7500,48.0,0.0,21.25,0.43,19.25,1.3,5
255,63750,45.25,0.43,19.25,1.3,20.5,0.87,5
99,24750,42.0,0.0,24.0,0.0,36.25,0.43,1
209,52250,40.5,0.5,12.5,0.5,2.0,1.0,2
290,72500,28.5,0.5,14.5,0.5,14.25,1.3,0
349,87250,42.0,0.0,12.0,0.0,9.0,0.0,4
235,58750,39.25,0.43,1.5,0.5,17.25,0.83,2
194,48500,44.5,0.5,16.25,0.83,12.75,2.86,4
129,32250,34.0,2.83,13.33,1.7,16.25,1.09,6
446,111500,48.0,0.0,5.0,0.71,10.5,1.12,2
111,27750,24.75,0.83,15.5,3.57,19.5,4.5,3
428,107000,35.0,3.74,22.0,0.82,22.5,1.12,6
167,41750,28.75,1.09,4.5,0.5,11.5,0.87,2
295,73750,39.25,1.09,23.75,0.43,30.25,1.09,1
471,117750,22.67,0.47,18.0,0.0,25.67,1.25,0
471,117750,38.25,4.44,11.5,4.33,14.0,4.06,3
335,83750,26.5,0.87,2.67,1.25,2.75,0.83,2
365,91250,42.33,0.47,18.75,0.83,13.0,1.0,5
68,17000,45.0,0.0,19.0,0.0,17.5,0.5,4
237,59250,45.0,0.0,20.0,0.0,12.75,0.83,4
82,20500,45.33,0.47,10.0,0.82,14.75,1.09,5
318,79500,48.0,0.0,12.0,0.0,13.67,0.47,4
17,4250,26.5,0.5,21.75,0.43,15.25,1.48,0
322,80500,29.5,0.5,11.75,3.42,12.75,0.83,0
341,85250,43.0,0.0,16.67,0.94,21.5,0.87,5
212,53000,34.0,1.58,22.0,2.45,16.25,6.02,6
234,58500,45.25,0.43,16.33,0.47,17.67,0.47,5
296,74000,36.5,0.5,15.0,0.0,18.0,0.0,5
470,117500,30.0,0.0,16.5,0.5,21.0,0.0,5
195,48750,45.0,0.0,15.75,0.43,15.75,1.09,4
224,56000,41.25,3.56,9.0,5.0,13.5,7.23,6
7,1750,43.67,0.47,13.0,4.64,30.0,0.0,1
197,49250,39.67,0.47,7.75,0.83,12.0,0.0,2
12,3000,45.0,0.0,17.75,0.43,25.0,1.22,1
123,30750,37.25,3.27,14.67,3.77,19.33,3.3,6
279,69750,30.0,0.0,15.0,0.0,10.5,0.87,0
226,56500,45.75,0.83,18.0,0.0,21.0,0.0,4
403,100750,43.5,4.5,16.67,1.25,18.0,3.27,3
209,52250,33.0,3.0,19.75,2.68,19.33,1.7,3
210,52500,36.0,0.0,15.0,0.0,21.0,0.0,5
175,43750,45.0,0.0,18.0,0.0,11.0,0.82,4
179,44750,35.25,1.3,24.0,0.0,15.75,4.82,6
441,110250,45.0,0.0,24.0,0.0,22.5,1.12,5
268,67000,31.0,5.25,14.6,5.31,14.25,3.27,3
95,23750,43.5,0.5,20.25,0.43,36.0,0.0,1
11,2750,46.5,0.5,11.25,0.43,20.0,0.0,4
395,98750,26.75,0.43,30.5,0.87,9.75,2.49,0
243,60750,39.25,0.43,8.75,0.43,12.0,0.0,2
237,59250,45.5,0.5,18.0,0.0,20.5,0.5,4
343,85750,35.0,1.41,25.67,0.94,33.0,0.0,1
479,119750,41.5,0.87,24.0,0.0,30.0,0.0,1
181,45250,45.5,0.5,26.75,0.43,37.75,1.3,1
470,117500,36.25,0.43,23.0,1.73,15.0,2.45,6
371,92750,44.0,0.63,22.0,0.71,20.6,0.49,5
252,63000,48.0,0.0,1.0,0.0,9.25,0.43,2
104,26000,42.0,0.0,19.5,0.5,35.75,0.43,1
94,23500,29.5,9.86,13.5,1.12,14.25,3.03,3
399,99750,40.0,5.43,15.5,1.5,14.5,4.72,3
64,16000,32.0,4.34,14.25,2.86,13.8,5.56,3
141,35250,35.0,5.43,8.33,5.19,15.0,7.12,3
153,38250,45.0,0.0,14.5,0.5,16.25,0.43,4
275,68750,34.5,1.5,18.0,1.63,17.33,5.19,6
318,79500,46.0,1.22,18.0,5.79,12.75,7.29,3
343,85750,45.0,0.0,18.33,0.47,18.75,0.83,5
181,45250,38.25,3.9,18.75,2.49,15.0,3.0,3
392,98000,37.0,1.0,14.75,1.09,20.5,0.5,5
225,56250,43.5,0.5,22.25,0.43,9.5,0.87,5
166,41500,38.67,0.47,6.33,1.25,21.0,0.0,0
345,86250,35.75,2.49,20.0,0.0,21.67,0.94,6
3,750,48.0,0.0,9.5,0.5,9.5,0.5,2
292,73000,39.0,0.0,22.25,1.3,35.5,0.87,1
339,84750,42.5,1.12,11.75,1.92,21.75,1.3,6
443,110750,42.0,0.0,25.0,0.71,26.5,0.5,0
65,16250,46.33,0.47,13.0,0.0,24.75,0.83,5
110,27500,39.67,0.47,7.0,1.0,11.67,0.47,2
99,24750,30.0,0.0,20.5,0.5,11.33,1.89,0
422,105500,35.75,1.64,18.75,8.07,16.5,2.06,6
156,39000,35.75,1.79,25.0,1.22,13.25,6.18,6
295,73750,28.0,0.0,14.0,0.82,15.0,0.71,0
145,36250,21.25,0.43,10.0,2.55,15.2,2.64,0
333,83250,42.0,0.0,15.0,0.0,9.75,0.43,4
414,103500,42.25,0.43,22.5,1.5,29.25,0.83,1
103,25750,39.25,0.43,0.0,0.0,16.33,0.47,2
34,8500,45.0,0.0,13.0,0.71,19.0,0.71,5
76,19000,33.67,0.94,14.75,2.17,14.0,1.41,3
221,55250,45.25,0.43,24.0,0.0,37.75,1.3,1
370,92500,39.0,0.0,6.67,0.47,9.5,0.5,2
328,82000,38.33,0.47,18.0,0.0,10.0,1.22,4
166,41500,41.5,0.5,14.75,0.43,1.67,0.47,2
249,62250,44.75,0.43,18.75,1.3,34.5,1.5,1
387,96750,40.25,5.89,13.25,1.64,20.0,2.45,3
397,99250,37.0,1.0,17.25,0.83,21.25,0.43,5
76,19000,41.5,1.5,16.75,2.49,15.5,5.12,6
363,90750,44.0,0.71,22.5,0.5,29.5,0.5,1
216,54000,37.25,4.26,19.75,2.68,14.5,3.28,3
251,62750,21.33,0.47,18.75,0.43,9.0,3.56,0
462,115500,38.25,1.92,15.67,3.3,13.75,7.22,6
453,113250,40.25,0.83,12.0,0.0,1.0,0.0,2
387,96750,43.17,0.69,18.2,0.4,36.2,0.4,1
378,94500,42.33,0.47,11.67,0.47,23.25,0.43,1
191,47750,36.75,0.83,23.5,1.8,32.25,0.83,1
195,48750,41.67,6.18,18.25,5.45,16.67,2.62,3
144,36000,37.75,2.05,19.0,0.82,10.5,5.72,6
332,83000,39.5,0.5,7.75,0.43,17.75,0.43,2
442,110500,48.0,0.0,8.75,4.09,4.0,0.0,4
109,27250,44.5,0.5,24.0,0.0,30.0,0.0,1
408,102000,48.0,0.0,12.0,0.0,11.0,0.71,4
341,85250,37.0,1.73,15.67,2.87,21.5,3.04,6
293,73250,48.0,0.0,12.25,0.43,12.0,0.0,4
22,5500,48.0,0.0,21.75,0.43,19.5,1.12,5
97,24250,34.5,4.97,15.0,2.12,16.0,8.03,6
454,113500,36.0,0.0,15.0,0.71,15.0,1.22,5
3,750,44.33,0.47,18.25,0.43,11.0,1.0,4
245,61250,38.5,2.87,17.75,2.28,15.0,1.87,6
64,16000,32.25,2.49,16.5,6.54,17.5,2.29,3
192,48000,38.0,3.56,15.25,0.43,18.0,3.0,3
199,49750,43.4,0.49,18.0,0.0,10.5,1.12,5
130,32500,42.33,0.47,20.67,0.47,35.25,1.3,1
370,92500,38.67,12.5,16.0,1.41,13.0,6.44,3
82,20500,48.0,0.0,6.25,0.43,4.0,1.22,2
413,103250,42.5,0.87,23.5,2.5,25.0,3.46,0
7,1750,49.0,0.89,19.8,1.83,14.75,0.83,5
69,17250,40.67,0.94,20.67,0.47,14.25,0.83,4
127,31750,42.5,3.57,14.5,3.04,15.5,5.89,1
145,36250,42.5,0.5,21.0,0.0,35.5,0.5,1
363,90750,45.0,0.0,19.67,0.47,12.0,0.0,4
334,83500,41.0,1.41,10.0,6.16,22.25,1.3,6
115,28750,29.25,0.43,18.75,0.43,17.5,0.5,0
150,37500,36.0,3.54,12.25,3.49,16.0,2.45,6
200,50000,37.25,2.17,20.0,6.36,17.5,6.02,6
279,69750,45.0,0.0,18.0,0.0,15.75,0.83,4
156,39000,45.0,0.0,12.0,0.0,18.75,1.48,4
313,78250,42.0,0.0,18.0,2.45,30.67,0.47,1
337,84250,45.0,0.0,19.0,0.0,12.0,0.0,4
102,25500,48.0,0.0,9.25,0.43,1.75,0.43,2
366,91500,39.5,0.5,3.25,0.43,12.25,0.43,2
134,33500,34.0,2.94,12.5,5.5,16.33,3.4,6
141,35250,44.75,0.43,20.67,1.7,28.33,0.94,0
58,14500,45.0,0.0,14.0,0.71,14.0,1.22,5
329,82250,39.25,0.43,7.4,1.02,8.6,2.06,2
56,14000,43.5,0.5,18.25,0.43,33.0,0.0,1
312,78000,36.5,3.57,20.0,4.06,22.25,1.3,3
253,63250,35.33,1.7,23.33,1.7,19.75,4.6,6
221,55250,36.0,0.0,18.0,0.0,19.25,1.09,5
334,83500,31.5,6.5,12.0,6.48,18.0,2.45,6
292,73000,34.5,1.5,17.25,4.15,17.75,7.4,6
302,75500,40.5,0.5,12.0,0.0,8.0,1.41,2
288,72000,45.0,0.0,26.25,0.43,30.0,0.0,1
116,29000,48.0,0.0,2.0,0.0,4.5,1.12,2
466,116500,45.5,0.5,19.25,0.43,18.75,0.43,4
2,500,39.5,0.5,6.33,2.49,11.75,0.43,2
108,27000,42.0,0.0,21.0,0.0,15.75,0.83,4
336,84000,43.5,0.5,16.0,0.0,18.33,0.47,5
476,119000,42.67,2.87,16.0,2.92,19.33,2.62,3
410,102500,30.0,0.0,18.5,0.87,19.0,1.22,5
303,75750,40.5,2.06,17.0,1.41,16.0,1.41,6
55,13750,42.0,1.22,17.5,1.5,19.5,2.87,6
276,69000,40.0,2.16,14.67,2.49,13.0,5.34,6
42,10500,31.25,1.09,19.0,1.22,23.0,0.71,6
276,69000,45.0,0.0,16.0,1.87,19.0,1.0,5
388,97000,36.5,5.5,15.0,2.45,13.0,3.61,3
70,17500,25.75,0.43,1.75,0.43,18.5,0.5,0
87,21750,45.33,0.47,13.0,0.82,17.5,0.5,4
311,77750,43.25,0.83,16.0,1.22,20.5,0.87,5
346,86500,48.0,0.0,5.0,0.0,9.5,0.5,2
0,0,39.5,0.5,4.33,1.25,12.0,0.0,2
296,74000,45.25,0.43,9.25,1.09,18.75,0.83,5
376,94000,42.5,0.5,12.0,0.0,23.25,0.43,1
375,93750,40.0,0.0,6.0,0.0,8.0,0.0,2
123,30750,33.5,1.5,12.0,1.22,13.5,1.12,4
449,112250,33.5,4.15,13.25,3.7,9.0,3.32,6
392,98000,39.5,4.39,14.33,1.7,15.33,10.21,3
94,23500,44.25,0.43,11.75,6.02,14.5,5.41,4
240,60000,39.67,0.47,5.25,0.43,12.67,0.47,2
430,107500,39.75,0.83,11.25,0.83,4.25,1.48,4
99,24750,41.0,5.2,11.75,4.09,14.75,2.49,3
25,6250,39.0,4.24,14.75,2.59,22.25,2.05,6
294,73500,39.0,0.0,21.25,0.43,36.25,0.43,1
9,2250,45.5,0.5,18.67,0.47,9.0,0.0,4
149,37250,25.4,2.8,13.25,3.42,17.2,5.98,3
40,10000,42.0,0.0,15.25,0.43,3.0,0.71,5
478,119500,31.67,1.25,11.0,6.16,19.25,2.17,3
128,32000,38.25,0.83,8.75,2.77,27.0,1.87,0
473,118250,49.0,1.22,13.33,2.62,17.75,4.66,3
105,26250,36.5,2.87,20.75,2.38,21.5,2.06,6
222,55500,34.25,1.3,23.25,0.83,15.5,3.57,6
34,8500,44.5,0.5,24.0,0.0,36.0,0.0,1
304,76000,33.0,4.74,17.33,4.11,15.5,0.87,6
472,118000,42.5,4.15,17.0,3.0,20.0,1.41,3
106,26500,38.5,4.33,11.25,2.59,15.25,3.27,3
41,10250,29.0,0.0,7.25,1.3,10.75,1.09,2
114,28500,40.25,2.49,13.67,2.62,14.0,0.82,6
168,42000,43.5,0.5,18.75,0.43,12.5,0.5,4
421,105250,42.25,0.43,15.0,0.0,5.33,1.89,4
192,48000,28.25,0.83,10.5,1.66,14.75,0.43,2
267,66750,29.75,2.95,13.75,6.46,18.75,5.54,3
248,62000,48.0,0.0,1.5,0.5,9.33,0.47,2
235,58750,39.5,0.5,5.75,0.43,12.25,0.43,2
287,71750,38.5,1.5,14.33,1.7,13.0,2.83,6
265,66250,43.25,0.83,15.5,0.5,23.75,0.43,1
425,106250,42.33,0.47,19.33,1.25,36.0,0.0,1
172,43000,46.5,0.5,24.33,0.47,37.67,0.94,1
118,29500,43.67,1.25,12.0,4.32,13.0,7.07,6
463,115750,43.75,0.43,20.0,0.0,1.0,0.0,5
450,112500,46.5,1.12,11.67,1.25,5.33,2.36,4
354,88500,40.5,0.5,12.0,0.0,17.0,0.71,4
465,116250,36.5,2.29,20.5,1.8,30.0,0.0,1
303,75750,39.5,2.18,17.5,3.35,19.0,2.45,3
134,33500,33.0,0.0,21.25,0.43,7.0,0.0,5
285,71250,43.5,0.5,17.5,0.5,24.5,0.5,5
287,71750,36.5,0.5,15.25,0.43,13.25,1.3,5
0,0,45.0,0.0,19.0,0.82,10.0,1.22,4
365,91250,44.5,0.5,24.0,0.0,25.5,0.87,5
405,101250,42.0,0.0,14.0,0.71,8.0,0.71,4
269,67250,46.67,0.47,27.0,0.0,36.33,0.47,1
350,87500,27.33,0.47,1.0,0.0,2.0,0.0,2
278,69500,45.0,0.0,18.5,0.87,15.25,0.83,4
129,32250,36.75,1.3,14.0,6.12,6.67,5.91,6
383,95750,48.0,0.0,7.25,0.43,10.0,0.71,2
350,87500,42.0,0.0,12.75,0.83,8.0,0.82,4
457,114250,21.0,0.0,21.0,0.0,26.0,1.22,0
344,86000,37.25,1.3,11.0,1.22,21.5,0.5,5
168,42000,33.0,2.12,23.0,1.0,20.67,4.03,6
322,80500,21.5,0.5,22.0,1.0,19.5,1.12,0
72,18000,40.25,1.09,11.75,6.98,18.25,3.49,6
112,28000,38.67,4.03,23.0,0.82,17.0,4.0,6
183,45750,29.0,2.92,14.67,4.92,18.75,3.63,1
151,37750,36.5,10.97,14.5,5.32,15.75,3.96,3
472,118000,27.0,0.0,21.0,0.0,21.4,0.49,0
205,51250,36.0,0.0,14.5,0.5,21.75,0.83,5
452,113000,48.0,0.0,2.5,0.5,10.5,0.87,2
46,11500,41.0,0.82,21.25,0.43,29.33,0.47,0
455,113750,42.75,0.83,24.25,0.43,31.5,0.5,1
152,38000,26.75,0.43,20.5,0.5,26.5,0.5,0
373,93250,44.33,0.47,17.33,0.47,36.75,0.83,1
66,16500,36.25,4.71,12.67,3.3,18.0,2.45,1
402,100500,36.0,0.0,15.0,0.0,12.75,1.3,4
385,96250,36.75,1.3,24.25,0.43,16.5,4.97,6
317,79250,30.5,5.68,15.0,4.24,20.5,1.8,3
457,114250,28.0,0.71,8.5,1.5,10.25,1.3,2
231,57750,30.0,0.0,16.0,0.82,8.67,4.71,0
306,76500,34.0,1.41,17.5,2.29,22.0,1.41,6
460,115000,38.0,2.12,15.0,6.96,16.75,3.77,6
143,35750,41.67,1.7,5.0,4.0,13.33,1.7,5
75,18750,45.25,0.43,12.75,1.48,10.75,1.3,5
417,104250,28.0,1.58,16.0,1.22,14.0,5.34,1
247,61750,27.5,3.77,16.0,4.53,17.0,3.74,1
20,5000,39.33,0.47,7.0,0.82,11.5,0.5,2
451,112750,25.5,2.06,12.0,4.24,13.5,3.28,3
323,80750,42.75,0.43,12.0,0.0,15.5,2.06,4
127,31750,45.0,0.0,18.67,0.47,16.33,1.25,4
195,48750,48.0,0.0,5.75,0.43,8.75,0.83,2
470,117500,33.75,8.17,10.0,3.56,18.67,4.5,3
396,99000,39.67,3.3,12.33,2.87,15.0,3.67,3
459,114750,36.5,0.5,8.75,1.09,18.0,0.71,5
263,65750,30.75,3.9,14.5,2.87,16.0,3.54,3
70,17500,45.5,0.5,18.0,0.0,20.75,0.43,4
13,3250,45.0,0.0,21.0,0.0,15.25,1.09,5
451,112750,37.5,1.5,16.25,6.02,11.75,4.6,3
399,99750,44.75,0.43,26.75,0.43,27.25,0.83,1
41,10250,35.25,3.27,14.75,5.54,17.25,5.12,3
106,26500,45.0,0.0,15.0,0.0,18.0,0.82,4
359,89750,37.25,2.17,18.0,3.67,11.75,6.83,6
35,8750,30.0,1.87,11.75,6.68,15.75,0.83,3
451,112750,30.0,0.0,21.0,0.0,21.0,0.0,5
283,70750,45.0,0.0,18.0,0.0,14.0,1.41,4
329,82250,30.75,3.34,15.0,3.0,20.25,4.26,3
102,25500,41.75,0.43,20.0,0.0,16.0,0.71,4
111,27750,37.75,1.09,18.75,1.79,12.25,2.86,3
368,92000,40.25,1.3,15.0,3.0,19.0,1.41,6
76,19000,42.0,0.0,13.5,7.23,33.0,0.0,1
141,35250,34.0,6.44,15.67,2.49,14.5,3.77,6
58,14500,47.5,0.5,12.5,2.5,11.25,0.83,4
361,90250,27.0,0.0,15.67,0.47,12.0,0.0,0
222,55500,43.5,1.12,15.0,0.0,16.25,1.09,4
477,119250,36.0,0.0,8.67,2.49,27.0,0.0,0
116,29000,36.25,4.55,13.67,1.25,12.0,4.55,3
457,114250,39.33,0.47,7.25,0.83,18.0,0.0,2
60,15000,39.5,0.5,4.0,0.0,16.33,0.47,2
330,82500,40.75,0.83,15.25,0.43,14.0,1.22,4
307,76750,38.5,0.5,27.25,0.43,36.75,0.83,1
158,39500,35.25,1.3,26.75,0.43,33.0,0.0,1
80,20000,43.25,0.83,23.5,0.87,30.0,0.0,1
420,105000,44.5,0.5,26.25,1.92,29.25,3.27,0
209,52250,42.0,0.0,14.75,1.92,10.25,1.3,4
312,78000,46.5,0.5,21.0,0.0,19.25,1.3,5
461,115250,26.5,2.6,21.75,1.3,9.5,1.5,3
222,55500,40.25,0.83,12.0,0.0,3.0,0.0,2
169,42250,36.25,2.17,20.33,3.77,19.0,0.82,6
320,80000,45.0,0.0,15.67,0.47,8.33,5.73,4
249,62250,45.5,0.5,23.75,0.43,36.5,0.5,1
49,12250,39.5,0.5,9.5,0.5,10.5,0.5,2
316,79000,43.42,0.64,14.92,0.28,20.25,0.6,5
379,94750,24.0,0.0,21.75,0.43,18.0,0.0,0
341,85250,29.75,4.26,18.0,1.87,16.75,2.77,6
262,65500,35.0,1.41,14.5,1.5,19.67,1.25,6
13,3250,41.25,0.83,14.25,3.9,22.25,1.3,6
345,86250,39.5,0.5,4.0,0.82,12.0,0.0,2
241,60250,43.5,0.5,22.25,0.43,12.0,1.63,5
179,44750,44.5,0.5,18.25,0.43,8.5,1.5,4
2,500,42.0,0.0,17.5,0.5,12.5,0.5,5
434,108500,36.0,0.0,8.5,3.04,16.75,1.3,5
153,38250,45.25,0.43,19.25,0.43,21.75,0.43,5
199,49750,42.25,0.83,18.25,3.56,13.75,5.12,6
429,107250,33.33,4.19,12.0,4.9,13.67,1.89,3
115,28750,45.0,0.0,15.0,0.0,12.25,0.43,4
414,103500,33.0,3.0,23.67,2.87,19.5,4.03,6
449,112250,42.5,0.87,20.25,0.83,8.0,2.83,4
392,98000,44.67,0.47,21.5,0.5,32.33,0.47,1
173,43250,45.0,0.0,14.0,0.71,23.5,0.87,5
187,46750,29.33,3.86,14.0,3.56,14.5,2.5,3
15,3750,27.0,0.0,11.75,0.43,18.67,0.47,0
379,94750,30.0,0.0,18.0,0.71,14.25,0.83,5
318,79500,41.25,1.3,16.67,5.44,15.5,6.73,6
53,13250,38.75,3.7,13.25,2.68,20.75,2.17,3
432,108000,44.0,1.0,18.0,0.0,16.25,1.48,4
156,39000,27.0,0.0,18.75,0.43,27.0,0.0,0
274,68500,42.75,0.43,21.0,0.0,33.75,1.3,1
78,19500,45.0,0.0,20.0,0.0,8.67,0.47,4
44,11000,48.0,0.0,8.25,0.43,1.5,0.5,2
468,117000,38.0,1.58,16.0,1.22,21.0,1.41,6
139,34750,46.5,0.5,25.75,1.3,36.75,0.83,1
15,3750,30.0,0.0,13.0,3.67,9.67,3.4,3
405,101250,42.5,0.5,20.75,0.43,36.25,0.43,1
49,12250,26.75,0.43,0.0,0.0,17.75,0.43,0
173,43250,29.25,0.43,19.5,1.5,18.5,0.5,0
396,99000,45.0,0.0,25.33,0.94,28.0,0.0,1
478,119500,39.0,0.0,2.0,0.0,18.0,0.0,2
255,63750,48.0,0.0,0.0,0.0,8.67,0.47,2
321,80250,44.75,0.43,25.0,0.71,32.75,0.43,1
386,96500,44.5,0.5,15.0,0.0,15.33,0.47,4
408,102000,35.75,2.59,20.5,3.35,14.25,2.49,6
113,28250,39.0,3.54,12.0,3.16,17.0,1.22,3
19,4750,34.5,10.06,12.33,2.36,15.25,4.71,3
4,1000,42.5,0.5,20.75,4.55,31.75,0.43,1
225,56250,39.5,0.5,3.67,0.47,12.33,0.47,2
317,79250,36.5,0.87,21.0,5.2,17.75,1.92,6
327,81750,44.25,0.43,19.0,0.0,9.33,0.47,4
162,40500,44.0,0.0,19.25,0.43,21.75,0.83,1
476,119000,27.0,0.0,15.0,0.0,4.0,1.0,0
401,100250,42.0,0.0,23.33,0.47,30.5,0.5,1
74,18500,26.0,1.41,16.67,0.47,26.75,0.43,0
32,8000,43.5,0.5,23.0,1.73,32.5,0.5,1
30,7500,48.0,0.0,9.0,0.0,9.0,0.0,2
408,102000,45.0,0.0,11.25,1.3,15.25,1.79,5
356,89000,35.25,2.49,21.75,5.12,15.25,1.3,6
434,108500,43.5,0.5,18.33,0.47,36.0,0.0,1
246,61500,45.0,0.0,15.67,0.47,23.0,0.71,5
451,112750,25.75,0.43,11.0,1.58,2.33,0.47,0
178,44500,45.0,0.0,16.75,0.43,22.33,0.47,5
428,107000,39.33,0.47,6.5,0.5,16.67,0.47,2
52,13000,36.25,0.43,15.25,0.43,13.5,1.12,5
116,29000,42.33,0.47,20.0,0.82,10.0,1.63,4
271,67750,43.5,0.5,16.25,0.43,18.0,0.0,5
